id_tmdb,title,tmdb_title,release_date,release_year,release_month,release_quarter,release_period,is_summer_release,is_holiday_release,director_name,top_billed_cast,production_company_names,main_production_company,production_company_count,cast_member_count,tmdb_fetch_status,tmdb_http_status,tmdb_error
93,Anatomy of a Murder,Anatomy of a Murder,1959-07-01,1959,7,Q3,inverno,1,0,Otto Preminger,James Stewart|Lee Remick|Ben Gazzara,Columbia Pictures|Otto Preminger Films,Columbia Pictures,2,27,ok,200,
95,Armageddon,Armageddon,1998-07-01,1998,7,Q3,inverno,1,0,Michael Bay,Bruce Willis|Billy Bob Thornton|Ben Affleck,Touchstone Pictures|Jerry Bruckheimer Films|Valhalla Motion Pictures,Touchstone Pictures,3,94,ok,200,
96,Beverly Hills Cop II,Beverly Hills Cop II,1987-05-18,1987,5,Q2,outono,1,0,Tony Scott,Eddie Murphy|Judge Reinhold|John Ashton,Eddie Murphy Productions|Paramount Pictures|Don Simpson/Jerry Bruckheimer Films,Eddie Murphy Productions,3,77,ok,200,
97,Tron,Tron,1982-07-09,1982,7,Q3,inverno,1,0,Steven Lisberger,Jeff Bridges|Bruce Boxleitner|David Warner,Lisberger/Kushner Productions|Walt Disney Productions,Lisberger/Kushner Productions,2,27,ok,200,
98,Gladiator,Gladiator,2000-05-04,2000,5,Q2,outono,1,0,Ridley Scott,Russell Crowe|Joaquin Phoenix|Connie Nielsen,Universal Pictures|Scott Free Productions|Red Wagon Entertainment|Mill Film|DreamWorks Pictures,Universal Pictures,5,44,ok,200,
99,Todo sobre mi madre,All About My Mother,1999-04-16,1999,4,Q2,outono,0,0,Pedro Almodóvar,Cecilia Roth|Marisa Paredes|Candela Peña,El Deseo|Renn Productions|France 2 Cinéma,El Deseo,3,33,ok,200,
100,"Lock, Stock and Two Smoking Barrels","Lock, Stock and Two Smoking Barrels",1998-08-28,1998,8,Q3,inverno,1,0,Guy Ritchie,Vinnie Jones|Jason Flemyng|Dexter Fletcher,The Steve Tisch Company|SKA Films|Handmade Films,The Steve Tisch Company,3,44,ok,200,
101,Léon,Léon: The Professional,1994-09-14,1994,9,Q3,primavera,0,0,Luc Besson,Jean Reno|Natalie Portman|Gary Oldman,Gaumont|Les Films du Dauphin,Gaumont,2,55,ok,200,
103,Taxi Driver,Taxi Driver,1976-02-09,1976,2,Q1,verao,0,0,Martin Scorsese,Robert De Niro|Jodie Foster|Cybill Shepherd,Italo/Judeo Productions|Bill/Phillips|Columbia Pictures,Italo/Judeo Productions,3,53,ok,200,
104,Lola rennt,Run Lola Run,1998-08-20,1998,8,Q3,inverno,1,0,Tom Tykwer,Franka Potente|Moritz Bleibtreu|Herbert Knaup,X Filme Creative Pool,X Filme Creative Pool,1,23,ok,200,
105,Back to the Future,Back to the Future,1985-07-03,1985,7,Q3,inverno,1,0,Robert Zemeckis,Michael J. Fox|Christopher Lloyd|Crispin Glover,Universal Pictures|Amblin Entertainment,Universal Pictures,2,52,ok,200,
