id_tmdb,title,original_language,adult,video,genres,status,runtime,belongs_to_collection,budget,revenue
1064213,Anora,en,False,False,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",Released,139,,6000000,56286295
1010581,Culpa mía,es,False,False,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",Released,117,"{'id': 1156666, 'name': 'Fault Collection', 'poster_path': '/fR3AsfNeAmgGCy2CMFaOjIaIuA7.jpg', 'backdrop_path': '/7N9p8D39MXJDfm14zlBwW7mBh7g.jpg'}",0,0
374720,Dunkirk,en,False,False,"[{'id': 10752, 'name': 'War'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",Released,107,,150000000,527000000
968171,性教育ママ,ja,False,False,"[{'id': 35, 'name': 'Comedy'}]",Released,78,,0,0
1195506,Novocaine,en,False,False,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",Released,110,,18000000,34208050
348,Alien,en,False,False,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",Released,117,"{'id': 8091, 'name': 'Alien Collection', 'poster_path': '/gWFHIY77cRVoBRGERwMHqpD27gc.jpg', 'backdrop_path': '/6X42JnSMdo3dPAswOHUuvebdTq7.jpg'}",11000000,104931801
1323853,Norbert,es,False,False,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",Released,0,,0,0
9532,Final Destination,en,False,False,"[{'id': 27, 'name': 'Horror'}]",Released,98,"{'id': 8864, 'name': 'Final Destination Collection', 'poster_path': '/nr4MXTXK2in9gxYhFMQGni66KRJ.jpg', 'backdrop_path': '/y3aWOInifbGKXM34KjtcMITrZRZ.jpg'}",23000000,112880294
1153714,Death of a Unicorn,en,False,False,"[{'id': 27, 'name': 'Horror'}, {'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}]",Released,107,,15000000,15983827
950396,The Gorge,en,False,False,"[{'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",Released,127,,70000000,0
1124620,The Monkey,en,False,False,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]",Released,97,,10000000,68854518
55779,Final Destination 5,en,False,False,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",Released,91,"{'id': 8864, 'name': 'Final Destination Collection', 'poster_path': '/nr4MXTXK2in9gxYhFMQGni66KRJ.jpg', 'backdrop_path': '/y3aWOInifbGKXM34KjtcMITrZRZ.jpg'}",40000000,157887643
7451,xXx,en,False,False,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",Released,124,"{'id': 52785, 'name': 'xXx Collection', 'poster_path': '/s13xGJSH3eEWPjSjDvI1iCqkwVg.jpg', 'backdrop_path': '/jSfCi0onZRDxbeg2dPJgB5iAoxX.jpg'}",70000000,277448382
1040159,My Massive Cock,en,False,False,"[{'id': 99, 'name': 'Documentary'}]",Released,47,,0,0
1126166,Flight Risk,en,False,False,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",Released,91,,25000000,40420193
1359977,Conjuring the Cult,en,False,False,"[{'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}]",Released,93,,0,0
519182,Despicable Me 4,en,False,False,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",Released,94,"{'id': 86066, 'name': 'Despicable Me Collection', 'poster_path': '/xIXhIlZDRmSSfNbpN7kBCm5hg39.jpg', 'backdrop_path': '/37xamYKRUGCRux532lKcZdVGYuR.jpg'}",100000000,969280910
1184918,The Wild Robot,en,False,False,"[{'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}]",Released,102,"{'id': 1370345, 'name': 'The Wild Robot Collection', 'poster_path': '/vm94OwAJdVE62BnNdrkM0aAgnEi.jpg', 'backdrop_path': '/f6G8QPeod5ngQMs5Fe1O4LdphB7.jpg'}",78000000,331982078
533535,Deadpool & Wolverine,en,False,False,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",Released,128,"{'id': 448150, 'name': 'Deadpool Collection', 'poster_path': '/30c5jO7YEXuF8KiWXLg9m28GWDA.jpg', 'backdrop_path': '/dTq7mGyAR5eAydR532feWfjJjzm.jpg'}",200000000,1338073645
912649,Venom: The Last Dance,en,False,False,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",Released,109,"{'id': 558216, 'name': 'Venom Collection', 'poster_path': '/hoTLlTIohrzQ13HQVkZrDlvffuT.jpg', 'backdrop_path': '/vq340s8DxA5Q209FT8PHA6CXYOx.jpg'}",120000000,478103649
934584,La fiebre de los ricos,es,False,False,"[{'id': 53, 'name': 'Thriller'}]",Released,116,,0,0
1180906,Desert Dawn,en,False,False,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",Released,89,,1500000,0
50433,L'alcova,it,False,False,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",Released,88,,0,0
1233620,"¡Qué Huevos, Sofía!",es,False,False,"[{'id': 35, 'name': 'Comedy'}]",Released,106,,0,0
1414048,Day of Reckoning,en,False,False,"[{'id': 37, 'name': 'Western'}, {'id': 28, 'name': 'Action'}]",Released,106,,0,0
1284120,Den stygge stesøsteren,no,False,False,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}]",Released,109,,4250000,884602
1092899,The Siege,en,False,False,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",Released,97,,0,0
1045938,G20,en,False,False,"[{'id': 28, 'name': 'Action'}, {'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}]",Released,108,,0,0
1245165,Viaje de fin de curso: Mallorca,es,False,False,"[{'id': 35, 'name': 'Comedy'}]",Released,113,,0,0
1471014,Van Gogh by Vincent,fr,False,False,"[{'id': 99, 'name': 'Documentary'}]",Released,46,,0,0
1276073,新幹線大爆破,ja,False,False,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",Released,137,"{'id': 1471524, 'name': 'Bullet Train Collection', 'poster_path': None, 'backdrop_path': None}",0,0
1022789,Inside Out 2,en,False,False,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",Released,97,"{'id': 1022790, 'name': 'Inside Out Collection', 'poster_path': '/kvJqs0vm29U0xJa373wlzHb3FRh.jpg', 'backdrop_path': '/7U2m2dMSIfHx2gWXKq78Xj1weuH.jpg'}",200000000,1698863816
959604,L'Amour ouf,fr,False,False,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Released,166,,37315205,36010728
497698,Black Widow,en,False,False,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",Released,134,,200000000,379751131
